data,mandante,placar_m,placar_v,visitante,p_m,p_v,tc_m,tc_v,cg_m,cg_v,d_m,d_v,local,campeonato,links
2021-06-08,Sport Recife,0,0,Red Bull Bragantino,0.38,0.62,17,13,7,4,0.54,0.46,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204816
2021-02-09,Fluminense,1,1,Juventude,0.64,0.36,12,7,6,2,0.46,0.54,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204803
2021-01-08,Ceará,3,1,Fortaleza,0.48,0.52,12,28,4,8,0.48,0.52,Castelão,Brasileirão Série A,/pt-br/match/2204800
2021-01-08,Atlético-GO,1,1,América-MG,0.53,0.47,7,16,2,5,0.47,0.54,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204806
2021-01-08,Bahia,0,1,Sport Recife,0.6,0.4,21,8,4,2,0.51,0.5,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204799
2021-01-08,Chapecoense,0,1,Santos,0.44,0.56,20,11,6,5,0.54,0.46,Arena Condá,Brasileirão Série A,/pt-br/match/2204801
2021-01-08,Atlético-MG,2,0,Athletico Paranaense,0.61,0.39,11,8,3,1,0.47,0.53,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204798
2021-01-08,Corinthians,1,3,Flamengo,0.34,0.66,9,17,3,7,0.54,0.46,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204802
2021-07-31,Red Bull Bragantino,1,0,Grêmio,0.53,0.47,12,7,3,1,0.55,0.45,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204805
2021-07-31,Internacional,0,0,Cuiabá,0.58,0.42,12,13,3,4,0.58,0.43,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204804
2021-07-31,São Paulo,0,0,Palmeiras,0.54,0.46,12,7,3,3,0.44,0.56,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204797
2021-07-26,Cuiabá,1,2,Corinthians,0.53,0.47,16,4,7,2,0.5,0.5,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204789
2021-07-26,Juventude,1,0,Chapecoense,0.32,0.68,13,7,2,2,0.47,0.54,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204793
2021-07-25,Sport Recife,0,0,Ceará,0.55,0.45,12,14,0,0,0.47,0.53,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204787
2021-07-25,Athletico Paranaense,2,1,Internacional,0.53,0.47,11,13,4,3,0.5,0.51,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204791
2021-07-25,Santos,0,1,Atlético-GO,0.75,0.25,29,7,2,2,0.5,0.51,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204795
2021-07-25,Flamengo,5,1,São Paulo,0.58,0.42,12,18,8,6,0.55,0.45,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204790
2021-07-25,Fortaleza,1,0,Red Bull Bragantino,0.34,0.66,14,13,4,4,0.46,0.54,Castelão,Brasileirão Série A,/pt-br/match/2204796
2021-07-25,Atlético-MG,3,0,Bahia,0.6,0.4,12,11,5,5,0.46,0.54,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204788
2021-07-24,Palmeiras,1,0,Fluminense,0.5,0.5,10,9,1,3,0.49,0.51,Allianz Parque,Brasileirão Série A,/pt-br/match/2204794
2021-07-24,Grêmio,1,1,América-MG,0.52,0.48,12,18,4,7,0.51,0.49,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204792
2021-07-19,América-MG,0,1,Sport Recife,0.64,0.36,16,11,3,5,0.53,0.47,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204777
2021-07-18,Internacional,1,0,Juventude,0.51,0.49,14,11,5,4,0.5,0.5,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204784
2021-07-18,Red Bull Bragantino,2,2,Santos,0.39,0.61,11,16,5,5,0.53,0.47,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204785
2021-07-18,Bahia,0,5,Flamengo,0.35,0.65,11,16,3,10,0.43,0.57,Arena Fonte Nova,Brasileirão Série A,/pt-br/match/2204779
